Price,SMA_X,EMA_X,TBR_X,VOL_X,MOM_X,SMA_Y,Increase in 14 days
366.92,364.37000000000063,363.57296269136555,-0.016273894742486375,0.012365397463698271,16.55000000000001,355.4620833333336,0
366.92,365.3125000000006,364.08789150807854,-0.016273894742486375,0.010079746217231069,11.310000000000002,356.1287500000003,0
364.72,365.86416666666724,364.18513896837413,-0.022172176197753243,0.008176464231605311,6.6200000000000045,356.8416666666669,0
366.92,366.46166666666727,364.6058868193935,-0.016273894742486375,0.006439943284438002,7.170000000000016,357.64625000000024,0
369.13,366.9675000000006,365.3019042317945,-0.01034880291696832,0.0060583841926643844,6.069999999999993,358.7958333333335,0
365.27,367.1058333333339,365.2969958884415,-0.02069760583393664,0.005598712894869104,1.6599999999999682,359.6466666666668,0
363.61,366.8758333333339,365.0374580594505,-0.02514812729563794,0.0061824690132774645,-2.759999999999991,360.3133333333335,0
365.27,366.2325000000005,365.07323374261193,-0.02069760583393664,0.003694249770309001,-7.720000000000027,361.0950000000002,0
361.41,365.7733333333338,364.50965932067163,-0.02091404112372327,0.005128079352956312,-5.509999999999991,361.85375000000016,0
365.27,365.7275000000005,364.62663480979904,-0.010457020561861713,0.005142428074589607,-0.5500000000000114,362.6125000000002,0
365.82,365.6358333333338,364.81022945444533,-0.008967030585430613,0.005051127728077287,-1.1000000000000227,363.4400000000002,0
360.85,365.17583333333386,364.20096338453067,-0.022431121826998544,0.006161785149346044,-5.519999999999982,364.08333333333354,0
358.1,364.44083333333384,363.26235363306444,-0.029881071709153884,0.007972358805259249,-8.819999999999993,364.4054166666669,0
358.65,363.7516666666672,362.5527607664391,-0.02839108173272294,0.008801074470918003,-8.270000000000039,364.5320833333335,0
357.54,363.1533333333338,361.7815668023716,-0.03139815241242916,0.009939238216591607,-7.180000000000007,364.5087500000002,0
357.54,362.3716666666671,361.1290180635452,-0.03139815241242916,0.010273982629807308,-9.379999999999995,364.4166666666669,0
357.54,361.40583333333376,360.57686143838436,-0.03139815241242916,0.009204939275230034,-11.589999999999975,364.18666666666695,0
358.1,360.8083333333338,360.1958058324791,-0.021103274834618036,0.008927868423938327,-7.169999999999959,363.9570833333336,0
359.2,360.4408333333338,360.0426049351746,-0.018096331529167363,0.008686443387283626,-4.410000000000025,363.6583333333336,0
356.99,359.7508333333338,359.57297340668623,-0.024137553988300215,0.008044675194175862,-8.279999999999973,362.99166666666696,0
354.79,359.19916666666717,358.83713134411914,-0.030151440599201718,0.008756362454380625,-6.6200000000000045,362.4862500000003,0
344.85,357.49750000000046,356.6852649834854,-0.05732327374118411,0.0128441155133218,-20.41999999999996,361.61250000000035,1
345.96,355.8425000000004,355.03522421679537,-0.05428899458750209,0.013671098394749982,-19.860000000000014,360.73916666666696,1
340.44,354.1416666666671,352.78980510651917,-0.05656089788000561,0.01751012316378617,-20.410000000000025,359.6587500000003,1
341.54,352.76166666666717,351.05906585936236,-0.049164810690423076,0.019737160729783362,-16.560000000000002,358.60125000000033,1
339.34,351.15250000000043,349.2561326502297,-0.05528953229398668,0.021689725401792325,-19.310000000000002,357.45208333333363,1
339.89,349.6816666666671,347.81518916557894,-0.053758351893095774,0.022701490952235337,-17.650000000000034,356.4175000000003,1
339.89,348.2108333333338,346.59592929395143,-0.053758351893095774,0.022920099471847127,-17.650000000000034,355.2912500000003,1
344.85,347.1533333333339,346.3273247871897,-0.0399498886414253,0.02160754535782715,-12.689999999999998,354.2795833333336,1
349.82,346.4633333333339,346.86465943531437,-0.02611358574610244,0.01966033061534561,-8.28000000000003,353.63583333333355,1
353.68,346.00333333333396,347.91317336834294,-0.015367483296213758,0.017581860073266297,-5.519999999999982,353.22208333333356,1
353.68,345.72750000000065,348.80037746552097,-0.009271968402476266,0.016306728281581463,-3.3100000000000023,352.7391666666669,1
354.23,345.68083333333396,349.635704009287,-0.0015783984892471666,0.016096685214494696,-0.5600000000000023,352.4400000000002,1
